source_state,vm_count,comparison,left_mode,baseline_mode,metric,unit,rounds,left_median,left_p95,baseline_median,baseline_p95,paired_delta_median,paired_delta_ci_low,paired_delta_ci_high,improvement_pct_median,improvement_pct_ci_low,improvement_pct_ci_high,left_better_rounds,equal_rounds
plaintext-warm,1,shared_vs_current,vhost-user-blk-shared-cache,vhost-user-blk,application_ready_seconds,s,10,0.4516053215,0.5077596446999999,0.898559298,0.9125139012499999,-0.439227639,-0.463427755,-0.430246477,49.12642840052118,48.216142491232375,50.793185527877995,10,0
plaintext-warm,1,shared_vs_current,vhost-user-blk-shared-cache,vhost-user-blk,first_operation_ms,ms,10,3.4637244999999997,29.44634634999995,5.105722500000001,6.798106099999998,-1.8337035000000002,-2.3136840000000003,-1.0856150000000002,36.490726839366204,21.861733694495356,46.303555393574385,9,0
plaintext-warm,1,shared_vs_current,vhost-user-blk-shared-cache,vhost-user-blk,held_memory_mib,MiB,10,123.283203125,124.87734375,126.091796875,129.9275390625,-3.767578125,-6.83984375,-1.591796875,2.987691410828673,1.284767491209677,5.261576369482256,9,0
plaintext-warm,1,shared_vs_current,vhost-user-blk-shared-cache,vhost-user-blk,total_pss_mib,MiB,10,92.11865234375,94.321435546875,116.5322265625,119.0794921875,-24.4990234375,-26.51025390625,-23.22314453125,20.97293179174776,19.717015498741556,22.58669814495036,10,0
plaintext-warm,1,shared_vs_current,vhost-user-blk-shared-cache,vhost-user-blk,app_ready_cpu_seconds,s,10,1.2231795,1.2546498,2.959402,3.1379531,-1.741193,-1.8532119999999999,-1.7030254999999999,58.73560839024731,58.22119003655782,60.398013212254206,10,0
plaintext-warm,1,shared_vs_current,vhost-user-blk-shared-cache,vhost-user-blk,app_ready_io_read_mib,MiB,10,0.0,0.002148437499999996,0.0,0.002148437499999996,0.0,0.0,0.0,0.0,0.0,0.0,0,10
plaintext-warm,1,shared_vs_current,vhost-user-blk-shared-cache,vhost-user-blk,app_ready_io_write_mib,MiB,10,11.5234375,11.5234375,0.3671875,0.3671875,11.15625,11.15625,11.15625,-3038.297872340426,-3038.297872340426,-3038.297872340426,0,0
plaintext-warm,1,pmem_vs_current,lazy-pmem,vhost-user-blk,application_ready_seconds,s,10,0.4423026085,0.5055111210999998,0.898559298,0.9125139012499999,-0.45267333400000004,-0.4671500955,-0.43850826500000006,50.981501334747904,49.1316534741992,51.65948738014543,10,0
plaintext-warm,1,pmem_vs_current,lazy-pmem,vhost-user-blk,first_operation_ms,ms,10,2.8393235,3.2274043,5.105722500000001,6.798106099999998,-2.493183,-2.8480565,-2.1232380000000006,46.52586796827143,42.757021343692685,51.78309563258373,10,0
plaintext-warm,1,pmem_vs_current,lazy-pmem,vhost-user-blk,held_memory_mib,MiB,10,113.697265625,118.4693359375,126.091796875,129.9275390625,-13.451171875,-15.263671875,-7.92578125,10.591469457462917,6.502579880139731,11.82124214037814,10,0
plaintext-warm,1,pmem_vs_current,lazy-pmem,vhost-user-blk,total_pss_mib,MiB,10,91.53173828125,92.57978515625,116.5322265625,119.0794921875,-25.484375,-26.97314453125,-22.9013671875,21.758578819287756,20.016217138955277,22.790808720174176,10,0
plaintext-warm,1,pmem_vs_current,lazy-pmem,vhost-user-blk,app_ready_cpu_seconds,s,10,1.1043504999999998,1.4539605999999994,2.959402,3.1379531,-1.8564885,-1.95414,-1.8045485,62.908639111634315,60.03871986771068,64.13992360481153,10,0
plaintext-warm,1,pmem_vs_current,lazy-pmem,vhost-user-blk,app_ready_io_read_mib,MiB,10,0.0,0.002148437499999996,0.0,0.002148437499999996,0.0,0.0,0.0,100.0,100.0,100.0,1,8
plaintext-warm,1,pmem_vs_current,lazy-pmem,vhost-user-blk,app_ready_io_write_mib,MiB,10,10.7421875,10.7421875,0.3671875,0.3671875,10.375,10.375,10.375,-2825.531914893617,-2825.531914893617,-2825.531914893617,0,0
plaintext-warm,1,pmem_vs_shared,lazy-pmem,vhost-user-blk-shared-cache,application_ready_seconds,s,10,0.4423026085,0.5055111210999998,0.4516053215,0.5077596446999999,-0.00984523100000001,-0.02911463049999999,0.008676047999999992,2.151052998199593,-2.038405846536019,6.270240460032246,8,0
plaintext-warm,1,pmem_vs_shared,lazy-pmem,vhost-user-blk-shared-cache,first_operation_ms,ms,10,2.8393235,3.2274043,3.4637244999999997,29.44634634999995,-0.5701535,-1.280098,-0.12170000000000014,17.980252964565828,3.738388729160421,28.819685265150472,8,0
plaintext-warm,1,pmem_vs_shared,lazy-pmem,vhost-user-blk-shared-cache,held_memory_mib,MiB,10,113.697265625,118.4693359375,123.283203125,124.87734375,-9.3125,-11.185546875,-5.73046875,7.618321715466545,4.410443966111908,9.01441900207015,10,0
plaintext-warm,1,pmem_vs_shared,lazy-pmem,vhost-user-blk-shared-cache,total_pss_mib,MiB,10,91.53173828125,92.57978515625,92.11865234375,94.321435546875,-0.6962890625,-2.296875,1.5283203125,0.7550039915825664,-1.6848247351649297,2.4775106916384013,6,0
plaintext-warm,1,pmem_vs_shared,lazy-pmem,vhost-user-blk-shared-cache,app_ready_cpu_seconds,s,10,1.1043504999999998,1.4539605999999994,1.2231795,1.2546498,-0.13107800000000003,-0.14187241249999988,-0.008649000000000018,10.837081925236662,0.6159299950267498,11.551721293957288,8,0
plaintext-warm,1,pmem_vs_shared,lazy-pmem,vhost-user-blk-shared-cache,app_ready_io_read_mib,MiB,10,0.0,0.002148437499999996,0.0,0.002148437499999996,0.0,0.0,0.0,100.0,100.0,100.0,1,8
plaintext-warm,1,pmem_vs_shared,lazy-pmem,vhost-user-blk-shared-cache,app_ready_io_write_mib,MiB,10,10.7421875,10.7421875,11.5234375,11.5234375,-0.78125,-0.78125,-0.78125,6.779661016949152,6.779661016949152,6.779661016949152,10,0
plaintext-warm,4,shared_vs_current,vhost-user-blk-shared-cache,vhost-user-blk,application_ready_seconds,s,10,0.6803420175,0.7786883670999999,1.4402805975000001,1.93940418115,-0.7599378235,-1.0027425625,-0.7031849579999999,52.048096718137415,50.39430400134404,58.79027232292868,10,0
plaintext-warm,4,shared_vs_current,vhost-user-blk-shared-cache,vhost-user-blk,first_operation_ms,ms,10,3.264951,3.62064495,6.7992025,11.779624599999998,-3.670927,-7.0000715,-2.4821744999999997,53.659805309061014,39.998920330889156,67.3242204227958,10,0
